force,filtered_force,target_force,motor_speed,position,contact_point,spring,motor_state,screen_state
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0023,0.0004,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0017,0.0010,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0012,0.0012,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0013,0.0015,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0014,0.0016,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
-0.0002,0.0012,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
-0.0004,0.0009,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
-0.0015,0.0003,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
-0.0011,-0.0003,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0009,-0.0005,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
-0.0006,-0.0005,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,-0.0003,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
-0.0003,-0.0001,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
-0.0013,-0.0002,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
-0.0012,-0.0005,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
-0.0009,-0.0008,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
-0.0010,-0.0009,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,-0.0010,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0011,-0.0004,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0015,0.0001,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0021,0.0008,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
