force,filtered_force,target_force,motor_speed,position,contact_point,spring,motor_state,screen_state
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0015,0.0001,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0029,0.0006,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0022,0.0011,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0026,0.0017,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0008,0.0020,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0021,0.0020,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0028,0.0021,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0008,0.0018,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
-0.0005,0.0016,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
-0.0012,0.0009,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
-0.0012,0.0001,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
-0.0008,-0.0005,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0006,-0.0009,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0011,-0.0005,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0013,0.0001,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0028,0.0009,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0034,0.0018,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0025,0.0024,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0014,0.0026,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0009,0.0026,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
-0.0013,0.0016,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
