force,filtered_force,target_force,motor_speed,position,contact_point,spring,motor_state,screen_state
0.0042,0.0021,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0031,0.0022,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0039,0.0024,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0029,0.0025,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0002,0.0025,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0005,0.0024,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0007,0.0024,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0003,0.0024,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0013,0.0022,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0013,0.0021,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0006,0.0018,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0022,0.0015,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0020,0.0014,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0004,0.0012,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0006,0.0010,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
-0.0007,0.0010,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
-0.0014,0.0008,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0007,0.0007,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0019,0.0009,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0020,0.0010,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0043,0.0011,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0034,0.0014,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0028,0.0015,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0045,0.0017,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0047,0.0020,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0049,0.0024,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0035,0.0029,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0038,0.0033,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0009,0.0034,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0018,0.0034,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0015,0.0034,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0008,0.0031,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0012,0.0029,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0006,0.0027,1.0000,0.0000,-0.0009,0.0000,-0.0009,2,5
0.0012,0.0024,1.0000,6000.0000,0.2428,0.0000,0.2428,3,5
0.0031,0.0021,1.0000,6000.0000,0.5278,0.0000,0.5278,3,5
0.0022,0.0019,1.0000,6000.0000,0.8137,0.0000,0.8137,3,5
0.0040,0.0019,1.0000,6000.0000,1.0997,0.0000,1.0997,3,5
0.0059,0.0021,1.0000,6000.0000,1.3847,0.0000,1.3847,3,5
0.0058,0.0024,1.0000,6000.0000,1.6706,0.0000,1.6706,3,5
0.0074,0.0029,1.0000,6000.0000,1.9556,0.0000,1.9556,3,5
0.0065,0.0034,1.0000,6000.0000,2.2416,0.0000,2.2416,3,5
0.0043,0.0038,1.0000,6000.0000,2.5266,0.0000,2.5266,3,5
0.0051,0.0041,1.0000,6000.0000,2.8125,0.0000,2.8125,3,5
0.0069,0.0047,1.0000,6000.0000,3.0975,0.0000,3.0975,3,5
0.0086,0.0054,1.0000,6000.0000,3.3834,0.0000,3.3834,3,5
0.0089,0.0058,1.0000,6000.0000,3.6684,0.0000,3.6684,3,5
0.0059,0.0063,1.0000,6000.0000,3.9544,0.0000,3.9544,3,5
0.0053,0.0064,1.0000,6000.0000,4.2394,0.0000,4.2394,3,5
